map,seed,condition,method,loop_id,loop_vertex,local_boundary_f1,local_boundary_status,local_symmetric_boundary_distance_mean_m,local_distance_status,local_observed_coverage
radish_mexico,21003,A,Original,3,82,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
radish_mexico,21003,A,Original,4,69,0.0,AVAILABLE,1.4571303641538063,AVAILABLE,0.98407998216958
radish_mexico,21003,A,Original,5,58,0.0,AVAILABLE,1.8139882701217687,AVAILABLE,0.9741124024836809
radish_mexico,21003,A,Original,6,166,0.0,AVAILABLE,1.3579418364035758,AVAILABLE,0.9805132777176335
radish_mexico,21003,A,Original,7,87,0.0028555111364934323,AVAILABLE,1.4776527578008536,AVAILABLE,0.9819160113343309
radish_mexico,21003,A,Original,8,106,0.09684779065977557,AVAILABLE,1.5217690223974996,AVAILABLE,0.9531299751639815
radish_mexico,21003,A,Original,9,100,0.12425249169435217,AVAILABLE,1.1310116556051366,AVAILABLE,0.8599312233331211
radish_mexico,21003,A,Original,10,64,0.10149704418832134,AVAILABLE,1.541922407963546,AVAILABLE,0.8306428503199924
radish_mexico,21003,A,Original,11,65,0.24742637878217685,AVAILABLE,0.759464654908846,AVAILABLE,0.6326381149498488
radish_mexico,21003,B,Always-Trace,1,59,0.12405897114178169,AVAILABLE,1.1010308067096863,AVAILABLE,0.9676484636204427
radish_mexico,21003,B,Always-Trace,2,41,0.0,AVAILABLE,2.0902586566709993,AVAILABLE,0.9558322453268796
radish_mexico,21003,B,Always-Trace,3,82,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
radish_mexico,21003,B,Always-Trace,4,69,0.0,AVAILABLE,1.4874260560482342,AVAILABLE,0.9814054191740694
radish_mexico,21003,B,Always-Trace,5,58,0.05276766902892166,AVAILABLE,1.7090732332304341,AVAILABLE,0.9877089635408375
radish_mexico,21003,B,Always-Trace,6,166,0.0,AVAILABLE,1.5928795471602328,AVAILABLE,0.9998726358020761
radish_mexico,21003,B,Always-Trace,7,87,0.0,AVAILABLE,1.8200504732041103,AVAILABLE,0.9925180680696616
radish_mexico,21003,B,Always-Trace,8,106,0.13033514752219996,AVAILABLE,1.5097336067505003,AVAILABLE,0.9499777112653633
radish_mexico,21003,B,Always-Trace,9,100,0.1382943694435298,AVAILABLE,1.1872016719242453,AVAILABLE,0.8432465134050818
radish_mexico,21003,B,Always-Trace,10,64,0.1018478954361607,AVAILABLE,1.6578335574316316,AVAILABLE,0.8375839780940555
radish_mexico,21003,B,Always-Trace,11,65,0.3315433640627613,AVAILABLE,0.6299319883142636,AVAILABLE,0.559910842222576
radish_mexico,21003,C,Selective,1,59,0.1691852241194067,AVAILABLE,0.9116708833950451,AVAILABLE,0.9372392931061932
radish_mexico,21003,C,Selective,2,41,0.0,AVAILABLE,2.219456681950323,AVAILABLE,0.9575518262586377
radish_mexico,21003,C,Selective,3,82,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
radish_mexico,21003,C,Selective,4,69,0.0,AVAILABLE,1.4694940639330245,AVAILABLE,0.9807367784251918
radish_mexico,21003,C,Selective,5,58,0.0,AVAILABLE,1.800768164048224,AVAILABLE,0.9745581913708008
radish_mexico,21003,C,Selective,6,166,0.0,AVAILABLE,1.4455079019637302,AVAILABLE,0.9639559319875183
radish_mexico,21003,C,Selective,7,87,0.0,AVAILABLE,1.5500266332398989,AVAILABLE,0.9742430513547072
radish_mexico,21003,C,Selective,8,106,0.10310721283941401,AVAILABLE,1.5227791566824542,AVAILABLE,0.9507100554034261
radish_mexico,21003,C,Selective,9,100,0.09296342095815548,AVAILABLE,1.1940578443907737,AVAILABLE,0.856651595236579
radish_mexico,21003,C,Selective,10,64,0.09126076521248058,AVAILABLE,1.5297553065900478,AVAILABLE,0.8142452319546598
radish_mexico,21003,C,Selective,11,65,0.33131819981405614,AVAILABLE,0.639096898049717,AVAILABLE,0.9041553892692247
radish_mexico,21004,A,Original,1,59,0.1705352913311227,AVAILABLE,0.9046085819953178,AVAILABLE,0.9409648145199809
radish_mexico,21004,A,Original,2,41,0.0,AVAILABLE,2.211369764818944,AVAILABLE,0.9568831003407318
radish_mexico,21004,A,Original,3,82,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
radish_mexico,21004,A,Original,4,69,0.0,AVAILABLE,1.4777734116699723,AVAILABLE,0.9781258955010029
radish_mexico,21004,A,Original,5,58,0.0,AVAILABLE,1.8291671252628232,AVAILABLE,0.9711510905906703
radish_mexico,21004,A,Original,6,166,0.0,AVAILABLE,1.3961246793392088,AVAILABLE,0.9866267592179838
radish_mexico,21004,A,Original,7,87,0.0,AVAILABLE,1.5687359875374791,AVAILABLE,0.9737018052150658
