map,seed,condition,method,loop_id,loop_vertex,target_attributable,active_loop_distance_m,active_loop_time_s,local_boundary_f1,local_symmetric_boundary_distance_mean_m,local_observed_coverage
radish_mexico,21003,B,Always-Trace,4,69,False,,,0.0,1.4874260560482342,0.9814054191740694
radish_mexico,21003,C,Selective,4,69,False,,,0.0,1.4694940639330245,0.9807367784251918
radish_mexico,21003,A,Original,3,82,False,,,0.0,,1.0
radish_mexico,21003,B,Always-Trace,3,82,False,,,0.0,,1.0
radish_mexico,21003,C,Selective,3,82,False,,,0.0,,1.0
radish_mexico,21003,A,Original,7,87,False,,,0.0028555111364934323,1.4776527578008536,0.9819160113343309
radish_mexico,21003,B,Always-Trace,7,87,False,,,0.0,1.8200504732041103,0.9925180680696616
radish_mexico,21003,C,Selective,7,87,False,,,0.0,1.5500266332398989,0.9742430513547072
radish_mexico,21003,A,Original,9,100,False,,,0.12425249169435217,1.1310116556051366,0.8599312233331211
radish_mexico,21003,B,Always-Trace,9,100,False,,,0.1382943694435298,1.1872016719242453,0.8432465134050818
radish_mexico,21003,C,Selective,9,100,False,,,0.09296342095815548,1.1940578443907737,0.856651595236579
radish_mexico,21003,A,Original,8,106,False,,,0.09684779065977557,1.5217690223974996,0.9531299751639815
radish_mexico,21003,B,Always-Trace,8,106,False,,,0.13033514752219996,1.5097336067505003,0.9499777112653633
radish_mexico,21003,C,Selective,8,106,False,,,0.10310721283941401,1.5227791566824542,0.9507100554034261
radish_mexico,21003,A,Original,6,166,False,,,0.0,1.3579418364035758,0.9805132777176335
radish_mexico,21003,B,Always-Trace,6,166,False,,,0.0,1.5928795471602328,0.9998726358020761
radish_mexico,21003,C,Selective,6,166,False,,,0.0,1.4455079019637302,0.9639559319875183
radish_mexico,21004,A,Original,2,41,False,,,0.0,2.211369764818944,0.9568831003407318
radish_mexico,21004,B,Always-Trace,2,41,False,,,0.0,2.185849501707629,0.9625831926885966
radish_mexico,21004,C,Selective,2,41,False,,,0.0,2.794840721178966,1.0
radish_mexico,21004,A,Original,5,58,False,,,0.0,1.8291671252628232,0.9711510905906703
radish_mexico,21004,B,Always-Trace,5,58,False,,,0.0,1.8073883972165397,0.9727431937589556
radish_mexico,21004,C,Selective,5,58,False,,,0.08629640739287939,1.3611192828412757,0.9978984238178634
radish_mexico,21004,A,Original,1,59,False,,,0.1705352913311227,0.9046085819953178,0.9409648145199809
radish_mexico,21004,B,Always-Trace,1,59,False,,,0.1646066302409195,0.9240986042129302,0.9410921827734438
radish_mexico,21004,C,Selective,1,59,False,,,0.18902443069126318,0.8788995989293178,1.0
radish_mexico,21004,A,Original,10,64,False,,,0.08471706520124758,1.5597664137499627,0.8140541917406947
radish_mexico,21004,B,Always-Trace,10,64,False,,,0.09127789046653145,1.548355648052139,0.8159645938803451
radish_mexico,21004,C,Selective,10,64,False,,,0.09902351808554533,1.4300665391817848,0.9061355748718438
radish_mexico,21004,A,Original,11,65,False,,,0.22314528593508498,0.9219805246231402,0.7024040757841108
radish_mexico,21004,B,Always-Trace,11,65,False,,,0.20689655172413793,0.9213816888280077,0.6040439420474447
radish_mexico,21004,C,Selective,11,65,False,,,0.20645544086969514,0.9403235102823762,0.614742875338322
radish_mexico,21004,A,Original,4,69,False,,,0.0,1.4777734116699723,0.9781258955010029
radish_mexico,21004,B,Always-Trace,4,69,False,,,0.0,1.460516548373358,0.9809914987104785
radish_mexico,21004,C,Selective,4,69,False,,,0.0,1.4193662663445434,1.0
radish_mexico,21004,A,Original,3,82,False,,,0.0,,1.0
radish_mexico,21004,B,Always-Trace,3,82,False,,,0.0,,1.0
radish_mexico,21004,C,Selective,3,82,False,,,0.0,,1.0
radish_mexico,21004,A,Original,7,87,False,,,0.0,1.5687359875374791,0.9737018052150658
radish_mexico,21004,B,Always-Trace,7,87,False,,,0.0,1.5260500303815387,0.979146104619695
radish_mexico,21004,C,Selective,7,87,False,,,0.09979241177500438,1.2968690339577873,1.0
radish_mexico,21004,A,Original,9,100,False,,,0.08543096872616324,1.240829109339313,0.8578615551168567
radish_mexico,21004,B,Always-Trace,9,100,False,,,0.07883193538365951,1.2756417553431871,0.8467490288479909
radish_mexico,21004,C,Selective,9,100,False,,,0.0,1.9103242213217828,1.0
radish_mexico,21004,A,Original,8,106,False,,,0.09995831210338599,1.5217079856366125,0.9694007514487678
radish_mexico,21004,B,Always-Trace,8,106,False,,,0.09153956392670692,1.4955568060093787,0.9504553270075782
radish_mexico,21004,C,Selective,8,106,False,,,0.0,3.65047424309866,1.0
radish_mexico,21004,A,Original,6,166,False,,,0.0,1.3961246793392088,0.9866267592179838
radish_mexico,21004,B,Always-Trace,6,166,False,,,0.0,1.4139505514670614,0.9737629752276635
radish_mexico,21004,C,Selective,6,166,False,,,0.02826267664172901,1.253352187686727,0.9320193593580844
radish_mexico,21005,A,Original,2,41,False,,,0.0,2.195937228119438,0.9568194121580741
radish_mexico,21005,B,Always-Trace,2,41,False,,,0.0,2.2375072503132056,0.9544947934910677
radish_mexico,21005,C,Selective,2,41,False,,,0.0,2.367409774070581,0.9569786326147184
radish_mexico,21005,A,Original,5,58,False,,,0.0,1.7907109708324587,0.9988536857188346
radish_mexico,21005,B,Always-Trace,5,58,False,,,0.0,1.8110274799282007,0.9707371437669161
radish_mexico,21005,C,Selective,5,58,False,,,0.0,1.8477021665420812,0.9772010826301545
radish_mexico,21005,A,Original,1,59,False,,,0.1602398267917615,0.9108409940268443,0.9607068938067187
radish_mexico,21005,B,Always-Trace,1,59,False,,,0.1872102339734068,0.8618699653134925,0.9321127209043146
radish_mexico,21005,C,Selective,1,59,False,,,0.21674038515569186,0.815079223930764,0.9269543066390702
radish_mexico,21005,A,Original,11,65,False,,,0.18865604929842603,0.8277771252376884,0.6383060022289444
radish_mexico,21005,B,Always-Trace,11,65,False,,,0.2087391081496668,0.9437199950155267,0.6242636522846681
radish_mexico,21005,C,Selective,11,65,False,,,0.2025114407247349,0.921782390125987,0.6142334023244707
radish_mexico,21005,A,Original,4,69,False,,,0.0,1.4916269285821064,0.9870411054860382
radish_mexico,21005,B,Always-Trace,4,69,False,,,0.0,1.4525280731728953,0.9766930938962651
radish_mexico,21005,C,Selective,4,69,False,,,0.0,1.4530300289444238,0.982105899958608
radish_mexico,21005,A,Original,3,82,False,,,0.0,,1.0
radish_mexico,21005,B,Always-Trace,3,82,False,,,0.0,,1.0
radish_mexico,21005,C,Selective,3,82,False,,,0.0,,1.0
radish_mexico,21005,A,Original,7,87,False,,,0.0013845621322256835,1.5976339570435258,0.9974529593428635
radish_mexico,21005,B,Always-Trace,7,87,False,,,0.0025421035907213217,1.471493265260353,0.9756120857079181
radish_mexico,21005,C,Selective,7,87,False,,,0.005321722302854378,1.4369435931310655,0.9753573816422044
radish_mexico,21005,A,Original,9,100,False,,,0.1917115198082885,1.0757449023107861,0.8480545118767114
radish_mexico,21005,B,Always-Trace,9,100,False,,,0.10494183302038204,1.232424716618356,0.8448704069286124
radish_mexico,21005,C,Selective,9,100,False,,,0.11216566005176877,1.1744442361016558,0.8585620582054384
radish_mexico,21005,A,Original,8,106,False,,,0.12033439075893589,1.4876320009298198,0.9559319875183087
radish_mexico,21005,B,Always-Trace,8,106,False,,,0.10878295791863105,1.5128782032858146,0.9487359103356047
radish_mexico,21005,C,Selective,8,106,False,,,0.11241483724451173,1.4913970145650906,0.9574921989428772
radish_mexico,21005,A,Original,10,153,False,,,0.08861108980750057,1.4371872615368098,0.896650534895568
radish_mexico,21005,B,Always-Trace,10,153,False,,,0.0797025259648673,1.4403254791301696,0.8998344370860927
radish_mexico,21005,C,Selective,10,153,False,,,0.07776697680877658,1.474824604238345,0.9103413143148242
radish_mexico,21005,A,Original,6,166,False,,,0.0,1.4476479403784284,1.0
radish_mexico,21005,B,Always-Trace,6,166,False,,,0.0,1.3113732827530724,0.9761828949882189
radish_mexico,21005,C,Selective,6,166,False,,,0.0,1.2357348764557523,0.9836655416162516
